Year,Organisation,Critical Industry,Organisation size,Level of digital intensity,Sector,Country,Cyber security role,Cyber security frameworks,Education and awareness policy,Policy,"Prevention, Detection and Recovery",Improper network segmentation,Inappropriate remote access,Absence of encryption,Detector,Restructuring after attack,Bribe/ransom paid,Free identity or credit theft monitoring,Additional disclosure of information,Number of users affected,Overall nature of attack,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Individual(s) name(s) leaked/exposed,Address(es) leaked/exposed,Other personally identifiable information (PII) leaked/exposed,Track 1 - Credit card details leaked/exposed,Track 2 - Credit card details leaked/exposed,Social security number/tax number leaked/exposed,Subsequent fraudulent use of data,Investigation,Undertook investigation,Litigation by public,Penalties/settlement paid or actions imposed,Imposed penalties or actions on organisation,Fines issued by government or relevant body,Settlement paid,Effect on share price,Summary,
2014,"Bebe Stores, Inc.",No,Large,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,Yes,No,Yes,No,Missing,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Payment system hacked ,
2017,Bell,Yes,Large,High,Telecommunications,Canada,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,Yes,No,No,No,1900000,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2013,Bell Helicopter,Yes,Large,Medium-High,Machine equipment,USA,Yes,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,Missing,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NA,Unknown,
2010,Betfair,No,Large,Medium-High,"Arts, entertainment and recreation",USA,Yes,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,NA,NA,3000000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2016,Beyond Yoga,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,NA,NA,Missing,NA,NA,External,Unknown website/web application attack,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown,
2015,Big Fish Games,No,Large,Medium-High,"Arts, entertainment and recreation",USA,Yes,No,No,Yes,Medium,Yes,No,NA,Organisation,Yes,No,Yes,No,Missing,Type 1,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Website was hacked and payment data was accessed,
2018,Bigfoot gun shop,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,Yes,No,NA,Organisation,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2017,BigMoneyJobs.com,No,NA,High,Advertising and other business services,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,No,No,36802,Type 4,Web compromise,External,Insufficient input validation,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Website was hacked and customer data was accessed,
2018,Billings Clinic,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,NA,Yes,Organisation,No,No,No,Yes,8435,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Employee email account was hacked giving access to data,
2016,Billy Casper Golf,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Email campaign targeting employees,
2018,BioMarin Pharmaceutical Inc.,Yes,Large,Low-Medium,Pharmaceutical products,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,?,Email accounts compromised,
2017,Biomedical Systems Corp,Yes,Large,Low-Medium,Chemicals and chemical products,USA,No,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Employee data accessed,
2015,Bistro Burger,Yes,Medium,Low,Accommodation and food service activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware PoS attack,
2006,Bisys Group Inc.,No,NA,Medium-High,"Publishing, audiovisual and broadcasting",USA,No,No,No,Yes,Low,No,No,Yes,Organisation,NA,No,No,No,61000,Type 3,Physical Theft,External,Vendor vulnerability,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,third party vehicle was stolen with the tapes inside,
2016,"Bizmatics, Inc.",Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,300000,Type 1,Installed malware,External,Unknown network attack,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2012,Blizzard,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,Unknown network attack,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unauthorised access,
2018,"Blood Systems, Inc.",Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NA,Website was accessed to fraudulently order giftcards,
2012,"Blount Memorial Hospital, Inc",Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,NA,No,Yes,Yes,27000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Laptop stolen,
2018,Blue beacon international,Yes,Medium,High,Transportation storage,USA,Yes,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Employee data accessed,
2019,Blue Cross Blue Shield of Massachusetts,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,11000000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2009,Blue Cross Blue Shield of Tennessee,No,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,No,No,1000000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,NA,NA,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Unencrypted hard drives stolen,
2018,Blue springs family care p c,Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,45000,Type 1,Installed malware,External,Unknown network attack,High,Availability,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware ,
2014,Boersma Bros.LLC/dba DutchWear,Yes,NA,Low,Accommodation and food service activities,USA,No,No,No,Yes,Medium,Yes,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Website was hacked,
2018,"Bombas, LLC",No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,Yes,No,NA,Organisation,Yes,No,Yes,Yes,39561,Type 1,Installed malware,External,Social engineering,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Malware installed on PoS,
2011,Bonney Lake Medical Center,Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptops stolen,
2005,Boston College,No,Large,Low-Medium,Education,USA,Yes,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,100000,Type 1,Installed malware,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Virus installed,
2018,Boys Town National Research Hospital,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,105309,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Access gained to employee accounts,
2016,BraceAbility,Yes,Small,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2016,"Brandywine Pediatrics, P.A.",Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,Yes,No,No,Organisation,Yes,No,No,No,26873,Type 1,Installed malware,External,NA,High,Availability,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Ransomware,
2016,Brazzers.com,No,NA,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,800000,Type 4,Web compromise,External,Vendor vulnerability,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2014,Brigham  Women's Hospital,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,No,No,No,Organisation,No,No,No,No,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen with passcodes taken,
2018,British Airways,Yes,Large,Low,Transportation storage,UK,Yes,No,No,Yes,Medium,No,No,NA,Organisation,Yes,No,No,No,500000,Type 4,Web compromise,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,?,Website compromised through modification of code,
2017,Bronson nutritional's LLC,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2017,Brooks Brothers,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2017,Broward College,No,Large,Low-Medium,Education,USA,Yes,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,NA,Spam phishing,
2013,Buckeye Check Cashing,Yes,Medium,High,Finance and insurance,USA,No,No,No,Yes,Low,No,No,NA,Organisation,No,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical theft of laptop,
2006,Buckeye Community Health Plan,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,Yes,85000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Computers were stolen,
2010,Buena Vista University,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,Yes,Yes,93000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2006,Buffalo Bisons  Choice One Online,No,Small,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,NA,No,No,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Unknown attack on website,
2015,Bulk Reef Supply,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2017,Bulletproof,Yes,Medium,Low,"Food products, beverages and tobacco",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Website was compromised with added code,
2014,Butler University,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,163000,Type 2,NA,External,Insufficient authentication validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Network was hacked,
2017,Caliber Home Loans,Yes,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,NA,Unknown,
2014,California Department of Corrections and Rehabilitation,Yes,NA,Medium-High,Public administration and defence,USA,No,No,No,Yes,Medium,No,No,NA,Organisation,Yes,No,No,Yes,400000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2018,California Department of Public Health,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,NA,Organisation,Yes,No,No,No,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2017,California State University East Bay,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,NA,Unknown attack on website,
2017,"California state university, fresno",No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,No,No,NA,Organisation,Yes,No,No,Yes,15000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Theft of external hard drive,
2017,Campbell Taylor & Company Certified Public Accountants & Consultants,No,Medium,High,Legal and accounting activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown attack potentially involving ransomware and unauthorised access,
2017,Campbell Union High School District,No,Small,Low-Medium,Education,USA,Yes,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,NA,Computers were tampered with,
2011,Cancer Care Group,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,55000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen from vehicle,
2019,Capital One,Yes,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Low,Yes,NA,NA,Federal Agency,Yes,No,Yes,Yes,106000000,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,Yes,Yes,No,No,No,No,No,No change,Unauthorised access,
2017,Capital One,Yes,Large,High,Finance and insurance,USA,Yes,No,No,Yes,Low,NA,NA,NA,Federal Agency,No,No,Yes,Yes,100000,Type 5,Misuse of resources,Internal,Inappropriate use of privilege,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No change,Former employee accessed the information,
2017,Cardiology Center of Acadiana,Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,9681,Type 1,Installed malware,External,Unknown network attack,High,Availability,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Ransomware ,
2012,"CardioNet, Inc.",Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Physical theft of laptop (2 incidents),
2005,CardSystems,Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,No,Yes,Credit card/bank,Yes,No,NA,NA,40000000,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,NA,Script installed,
2018,Careem,Yes,Medium,Low,Transportation storage,UAE,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,No,14558000,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,NA,Unauthorised access,
2018,Career technology centres of licking county,No,NA,Low-Medium,Education,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unauthorised access but unknown,
2015,CareFirst BlueCross BlueShield,No,Large,High,Finance and insurance,USA,No,No,No,Yes,Medium,Yes,NA,NA,Organisation,Yes,No,Yes,No,1100000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2015,CarPhone Warehouse,No,Medium,Medium-High,"Wholesale, retail trade and repair",UK,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,No,2400000,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2018,Cary E. Williams CPA,No,NA,High,Legal and accounting activities,USA,No,No,No,Yes,High,Yes,Yes,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,Unknown network attack,High,Availability,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware ,
2018,Catawba Valley Medical Center,Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,No,Organisation,Yes,No,No,Yes,20000,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access resulting from phishing,
2018,Cathay Pacific,Yes,Large,Low,Transportation storage,Hong Kong,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,1105000,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,?,Unauthorised access and malware installed,
2017,Catholic Charities of the Diocese of Albany,No,Large,Low-Medium,Residential care and social work activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,No,Missing,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Malware installed,
2017,Catholic United Financial,No,NA,Low-Medium,Finance and insurance,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,Yes,Yes,No,Missing,Type 2,NA,External,Insufficient input validation,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access,
2015,"Cathrine Steinborn, DDS",Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical theft,
2018,CBIZ MHM LLC,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2017,"CBS Consolidated, Inc.",No,NA,High,Advertising and other business services,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,NA,21856,Type 2,Misuse of resources,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised account set up,
2014,Cedars-Sinai Health System,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,Yes,33000,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unencrypted laptop stolen,
2017,Cellebrite,Yes,Medium,High,IT and other information services,Israel,No,No,No,Yes,Low,NA,NA,NA,Organisation,No,No,No,Yes,Missing,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2018,Cendera funding inc,Yes,Medium,High,Finance and insurance,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Hard drive stolen,
2019,Centerstone Insurance  Financial Services,No,Medium,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,111589,Type 2,Misuse of resources,External,Social engineering,High,Confidentiality,Yes,Yes,Yes,Yes,NA,Yes,No,Yes,Yes,No,No,No,No,No,NA,Email phishing scam,
